reservoir_id,reservoir_name,location,note
10201,寶山水庫,新竹縣,主要供應新竹科學園區
10202,寶山第二水庫,新竹縣,不在此API清單中
10203,石門水庫,桃園市/新北市,
10204,永和山水庫,新竹縣/苗栗縣,
10211,明德水庫,苗栗縣,
10212,鯉魚潭水庫,苗栗縣/台中市,
10401,?,,
10405,石岡壩,台中市,
10501,湖山水庫,雲林縣/彰化縣,
10503,?,,
10601,曾文水庫,台南市/嘉義縣,
20101,翡翠水庫,台北市/新北市,
20201,?,,
20202,?,,
20501,?,,
20502,?,,
20503,?,,
20509,?,,
30301,?,,
30302,?,,
30501,?,,
30502,?,,
30503,?,,
30504,?,,
30802,?,,
30901,?,,
31002,?,,
31201,?,,
31301,?,,
50102,?,,
50103,?,,
50104,?,,
50105,?,,
50106,?,,
50108,?,,
50109,?,,
50201,?,,
50202,?,,
50203,?,,
50204,?,,
50205,?,,
50206,?,,
50207,?,,
50208,?,,
50209,?,,
50210,?,,
50212,?,,
50213,?,,
50214,?,,
