date,reservoir_name,observation_time,basin_rainfall_mm,inflow_cms,water_level_m,full_water_level_m,effective_storage,storage_rate,outflow_cms
2016-01-01,石門水庫,2016-01-01 22:00:00,--,--,236.90,245.00,"13,882.07",68.95 %,--
2016-01-01,西勢水庫,2016-01-01 08:00:00,--,--,72.05,72.08,43.41,99.36 %,--
2016-01-01,新山水庫,2016-01-01 08:00:00,--,--,79.82,86.00,685.44,68.41 %,--
2016-01-01,翡翠水庫,2016-01-01 07:00:00,--,16.22,167.13,170.00,"30,901.66",92.1 %,--
2016-01-01,榮華壩,--,--,--,--,413.00,--,--,--
2016-01-01,鳶山堰,--,--,--,--,51.50,--,--,--
2016-01-01,六堵攔河堰,--,--,--,--,--,--,--,--
2016-01-01,桂山壩,--,--,--,--,108.20,--,--,--
2016-01-01,三峽攔河堰,--,--,--,--,59.00,--,--,--
2016-01-01,青潭堰,--,--,--,--,22.60,--,--,--
2016-01-01,直潭壩,2016-01-01 07:00:00,--,--,41.65,44.70,85.91,44.77 %,--
2016-01-01,羅好壩,2016-01-01 07:00:00,--,--,0.00,213.00,--,0 %,--
2016-01-01,阿玉壩,--,--,--,--,213.00,--,--,--
2016-01-01,木瓜壩,--,--,--,--,383.76,--,--,--
2016-01-01,中庄調整池,--,--,--,--,--,--,--,--
